,index,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeWinRate,AwayWinRate,isWin
80,80,1.6666666666666667,1.3333333333333333,0.7777777777777778,0.5555555555555556,12.444444444444445,9.77777777777778,5.222222222222222,3.2222222222222223,15.333333333333334,16.555555555555557,4.666666666666667,4.0,2.0,2.0,0.1111111111111111,0.0,0.3333333333333333,0.4444444444444444,1.0
81,81,1.3,0.8,0.5,0.3,10.1,10.8,3.3,3.6,16.3,17.3,4.0,6.0,2.1,2.1,0.0,0.0,0.4,0.3,1.0
82,82,0.5,2.0,0.2,0.9,12.3,16.2,3.6,6.6,15.2,14.3,5.1,7.4,1.6,1.2,0.0,0.0,0.1,0.4,0.0
83,83,3.0,2.1,1.1,0.8,18.8,13.5,8.4,5.0,14.4,16.4,7.1,5.6,1.3,1.6,0.0,0.0,0.9,0.6,1.0
84,84,0.9,1.6,0.3,0.5,7.7,10.7,2.5,5.2,14.8,15.9,2.8,3.4,1.8,2.0,0.2,0.3,0.2,0.3,0.0
85,85,1.4,1.1,0.5,0.7,12.5,11.4,4.6,4.6,16.0,20.0,5.6,3.8,1.7,2.0,0.1,0.1,0.3,0.4,0.0
86,86,2.0,1.7,0.7,0.8,14.1,12.9,6.4,5.1,12.6,14.9,5.3,4.7,1.6,1.9,0.0,0.1,0.6,0.4,1.0
87,87,0.7,1.3,0.3,0.6,9.8,10.0,3.0,3.9,21.3,13.2,3.6,4.2,2.6,2.1,0.0,0.1,0.1,0.3,0.0
88,88,1.0,2.0,0.5,1.0,11.4,11.1,3.7,4.2,16.5,16.5,5.1,4.9,1.7,2.1,0.2,0.1,0.3,0.4,0.0
89,89,0.6,1.8,0.1,1.1,9.1,14.5,3.4,7.3,20.4,15.7,4.5,5.4,1.3,1.7,0.1,0.1,0.2,0.5,1.0
90,90,2.090909090909091,0.8181818181818182,0.9090909090909092,0.4545454545454545,16.181818181818183,9.909090909090908,6.363636363636363,3.0,14.181818181818182,20.727272727272727,7.181818181818182,3.636363636363636,1.2727272727272727,2.5454545454545454,0.0,0.1818181818181818,0.4545454545454545,0.0909090909090909,1.0
91,91,1.9090909090909087,0.5454545454545454,0.7272727272727273,0.1818181818181818,13.454545454545457,12.636363636363637,4.727272727272728,4.0,16.0,14.909090909090908,5.454545454545454,5.0,1.7272727272727273,1.6363636363636365,0.0,0.0,0.5454545454545454,0.0909090909090909,1.0
92,92,1.0,1.3636363636363635,0.6363636363636364,0.6363636363636364,11.181818181818182,10.272727272727272,4.545454545454546,3.1818181818181817,20.0,16.363636363636363,3.727272727272727,3.909090909090909,2.090909090909091,2.363636363636364,0.1818181818181818,0.0,0.3636363636363636,0.4545454545454545,1.0
93,93,2.1818181818181817,1.2727272727272727,0.9090909090909092,0.4545454545454545,11.0,12.818181818181818,4.181818181818182,4.454545454545454,16.545454545454547,16.272727272727273,4.909090909090909,5.909090909090909,2.1818181818181817,1.7272727272727273,0.0909090909090909,0.0909090909090909,0.4545454545454545,0.2727272727272727,0.0
94,94,1.7272727272727273,2.0,1.0,0.6363636363636364,14.0,13.272727272727272,7.0,6.181818181818182,15.818181818181818,13.090909090909092,5.454545454545454,5.0,1.818181818181818,1.5454545454545454,0.0909090909090909,0.0,0.4545454545454545,0.6363636363636364,1.0
95,95,1.5454545454545454,1.0909090909090908,0.6363636363636364,0.6363636363636364,10.0,11.545454545454543,4.181818181818182,4.090909090909091,13.181818181818182,16.90909090909091,4.181818181818182,5.545454545454546,1.9090909090909087,1.7272727272727273,0.0909090909090909,0.1818181818181818,0.3636363636363636,0.2727272727272727,0.0
96,96,0.8181818181818182,2.909090909090909,0.3636363636363636,1.0909090909090908,10.727272727272728,18.818181818181817,3.5454545454545454,8.727272727272727,17.636363636363637,14.090909090909092,6.0,7.181818181818182,2.363636363636364,1.181818181818182,0.0,0.0,0.2727272727272727,0.9090909090909092,0.0
97,97,1.5454545454545454,0.8181818181818182,0.5454545454545454,0.3636363636363636,10.090909090909092,9.363636363636363,4.818181818181818,3.636363636363636,16.09090909090909,19.272727272727277,3.1818181818181817,4.545454545454546,1.9090909090909087,1.2727272727272727,0.3636363636363636,0.0909090909090909,0.2727272727272727,0.2727272727272727,0.0
98,98,1.6363636363636365,0.9090909090909092,0.8181818181818182,0.3636363636363636,12.545454545454543,8.0,4.909090909090909,2.5454545454545454,14.909090909090908,15.0,4.909090909090909,3.090909090909091,1.818181818181818,1.7272727272727273,0.0909090909090909,0.1818181818181818,0.3636363636363636,0.1818181818181818,1.0
99,99,0.9166666666666666,1.0,0.4166666666666667,0.5833333333333334,7.666666666666667,11.083333333333334,2.583333333333333,4.5,15.0,20.0,2.9166666666666665,4.083333333333333,1.8333333333333333,2.083333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.4166666666666667,1.0
100,100,2.75,2.083333333333333,1.0833333333333333,0.9166666666666666,17.833333333333332,11.333333333333334,8.333333333333334,4.25,15.0,16.166666666666668,7.25,5.416666666666667,1.25,2.1666666666666665,0.0,0.0833333333333333,0.8333333333333334,0.4166666666666667,1.0
101,101,0.8333333333333334,0.8333333333333334,0.5,0.3333333333333333,9.5,10.416666666666666,2.9166666666666665,3.4166666666666665,19.83333333333333,17.25,3.4166666666666665,6.083333333333333,2.5,2.4166666666666665,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.25,0.0
102,102,1.25,2.1666666666666665,0.5833333333333334,1.0833333333333333,10.583333333333334,16.083333333333332,3.1666666666666665,6.333333333333333,15.916666666666666,13.583333333333334,4.166666666666667,6.833333333333333,2.25,1.3333333333333333,0.0,0.0,0.4166666666666667,0.5,0.0
103,103,1.8333333333333333,2.083333333333333,0.5833333333333334,0.8333333333333334,12.833333333333334,13.916666666666666,5.916666666666667,4.666666666666667,13.083333333333334,16.0,4.666666666666667,5.5,1.5833333333333333,1.6666666666666667,0.0833333333333333,0.0,0.5833333333333334,0.5833333333333334,0.0
104,104,1.0,1.6666666666666667,0.5,0.75,9.25,13.333333333333334,3.6666666666666665,5.0,18.83333333333333,15.416666666666666,4.166666666666667,5.333333333333333,1.25,1.9166666666666667,0.0833333333333333,0.1666666666666666,0.3333333333333333,0.4166666666666667,0.0
105,105,0.6666666666666666,1.5,0.25,0.6666666666666666,12.166666666666666,10.166666666666666,3.8333333333333335,4.25,15.25,13.5,5.083333333333333,4.583333333333333,1.75,2.0,0.0,0.0833333333333333,0.0833333333333333,0.3333333333333333,0.0
106,106,1.3333333333333333,1.1666666666666667,0.5,0.6666666666666666,13.5,11.666666666666666,4.75,4.25,16.166666666666668,16.833333333333332,5.916666666666667,5.25,1.6666666666666667,1.9166666666666667,0.0833333333333333,0.1666666666666666,0.3333333333333333,0.3333333333333333,1.0
107,107,1.5,1.75,0.5,1.0,11.333333333333334,14.333333333333334,5.0,7.0,15.75,15.0,3.75,5.25,1.9166666666666667,1.75,0.3333333333333333,0.0833333333333333,0.25,0.5,0.0
108,108,2.1538461538461537,1.0,1.1538461538461535,0.4615384615384615,15.76923076923077,7.923076923076923,6.230769230769231,2.6153846153846154,13.153846153846152,15.23076923076923,6.461538461538462,2.923076923076923,1.2307692307692308,1.8461538461538465,0.0,0.1538461538461538,0.5384615384615384,0.2307692307692307,0.0
109,109,2.0,1.2307692307692308,0.8461538461538461,0.6153846153846154,13.692307692307692,10.538461538461538,4.461538461538462,3.1538461538461537,15.76923076923077,16.153846153846153,5.153846153846154,4.153846153846154,1.6153846153846154,2.3846153846153846,0.0769230769230769,0.0,0.5384615384615384,0.3846153846153846,0.0
110,110,0.9230769230769232,1.7692307692307692,0.5384615384615384,0.6153846153846154,11.23076923076923,13.23076923076923,4.461538461538462,5.769230769230769,19.46153846153846,13.0,4.384615384615385,5.0,2.1538461538461537,1.5384615384615383,0.1538461538461538,0.0769230769230769,0.3846153846153846,0.5384615384615384,1.0
111,111,1.9230769230769231,0.7692307692307693,0.8461538461538461,0.4615384615384615,11.076923076923077,9.153846153846152,4.307692307692308,2.769230769230769,16.153846153846153,20.07692307692308,5.153846153846154,3.615384615384616,2.230769230769231,2.4615384615384617,0.0769230769230769,0.2307692307692307,0.3846153846153846,0.0769230769230769,1.0
112,112,1.4615384615384617,2.923076923076923,0.5384615384615384,1.2307692307692308,14.461538461538462,17.923076923076923,5.230769230769231,8.76923076923077,15.846153846153848,14.923076923076923,6.230769230769231,7.076923076923077,1.6923076923076923,1.3076923076923077,0.0769230769230769,0.0,0.3846153846153846,0.8461538461538461,0.0
113,113,1.4615384615384617,1.0,0.6153846153846154,0.4615384615384615,10.076923076923077,9.615384615384617,4.153846153846154,3.769230769230769,13.23076923076923,18.692307692307693,4.307692307692308,4.230769230769231,2.0,1.3076923076923077,0.0769230769230769,0.0769230769230769,0.3076923076923077,0.3076923076923077,1.0
114,114,0.7692307692307693,1.4615384615384617,0.3076923076923077,0.4615384615384615,9.846153846153848,12.307692307692308,3.1538461538461537,5.0,17.46153846153846,15.461538461538462,5.6923076923076925,3.769230769230769,2.3846153846153846,1.8461538461538465,0.1538461538461538,0.3076923076923077,0.2307692307692307,0.2307692307692307,1.0
115,115,1.0769230769230769,0.6923076923076923,0.6153846153846154,0.3076923076923077,11.538461538461538,12.23076923076923,4.076923076923077,3.615384615384616,17.0,15.538461538461538,5.076923076923077,4.923076923076923,2.0,1.6923076923076923,0.1538461538461538,0.0,0.3076923076923077,0.0769230769230769,1.0
116,116,1.6153846153846154,1.7692307692307692,0.7692307692307693,1.0769230769230769,13.23076923076923,13.846153846153848,4.769230769230769,6.769230769230769,15.461538461538462,15.23076923076923,5.461538461538462,4.923076923076923,1.9230769230769231,1.7692307692307692,0.2307692307692307,0.0769230769230769,0.3846153846153846,0.5384615384615384,0.0
117,117,1.0,1.9285714285714288,0.4285714285714285,0.7857142857142857,7.714285714285714,13.5,2.5,4.571428571428571,15.285714285714286,16.071428571428573,2.857142857142857,5.357142857142857,1.7857142857142858,1.6428571428571428,0.2142857142857142,0.0714285714285714,0.2142857142857142,0.5,1.0
